Geography,Aggravated Robbery,Financial Year,Count
GT,Robbery at Non-Residential Premises,2017/2018,6679
GT,Robbery at Non-Residential Premises,2018/2019,6662
GT,Robbery at Non-Residential Premises,2019/2020,6989
GT,Robbery at Non-Residential Premises,2020/2021,5992
GT,Robbery of Cash in Transit,2011/2012,83
GT,Robbery of Cash in Transit,2012/2013,50
GT,Robbery of Cash in Transit,2013/2014,60
GT,Robbery of Cash in Transit,2014/2015,39
GT,Robbery of Cash in Transit,2015/2016,32
GT,Robbery of Cash in Transit,2016/2017,33
GT,Robbery of Cash in Transit,2017/2018,80
GT,Robbery of Cash in Transit,2018/2019,62
GT,Robbery of Cash in Transit,2019/2020,61
GT,Robbery of Cash in Transit,2020/2021,87
GT,Bank Robbery,2011/2012,21
GT,Bank Robbery,2012/2013,1
GT,Bank Robbery,2013/2014,11
GT,Bank Robbery,2014/2015,9
GT,Bank Robbery,2015/2016,2
GT,Bank Robbery,2016/2017,1
GT,Bank Robbery,2017/2018,6
GT,Bank Robbery,2018/2019,1
GT,Bank Robbery,2019/2020,0
GT,Bank Robbery,2020/2021,1
GT,Truck Hijacking,2011/2012,443
GT,Truck Hijacking,2012/2013,524
GT,Truck Hijacking,2013/2014,547
GT,Truck Hijacking,2014/2015,804
GT,Truck Hijacking,2015/2016,695
GT,Truck Hijacking,2016/2017,668
GT,Truck Hijacking,2017/2018,708
GT,Truck Hijacking,2018/2019,647
GT,Truck Hijacking,2019/2020,629
GT,Truck Hijacking,2020/2021,774
GT,Other,2011/2012,18180
GT,Other,2012/2013,18599
GT,Other,2013/2014,22380
GT,Other,2014/2015,25140
GT,Other,2015/2016,26890
GT,Other,2016/2017,28563
GT,Other,2017/2018,27631
GT,Other,2018/2019,28248
GT,Other,2019/2020,29528
GT,Other,2020/2021,21864
KZN,Car Hijacking,2011/2012,2218
KZN,Car Hijacking,2012/2013,2413
KZN,Car Hijacking,2013/2014,2262
KZN,Car Hijacking,2014/2015,2190
KZN,Car Hijacking,2015/2016,2493
KZN,Car Hijacking,2016/2017,3029
KZN,Car Hijacking,2017/2018,2698
KZN,Car Hijacking,2018/2019,2764
KZN,Car Hijacking,2019/2020,3041
KZN,Car Hijacking,2020/2021,2669
KZN,Robbery at Residential Premises,2011/2012,3751
KZN,Robbery at Residential Premises,2012/2013,4119
KZN,Robbery at Residential Premises,2013/2014,4099
KZN,Robbery at Residential Premises,2014/2015,3958
KZN,Robbery at Residential Premises,2015/2016,4082
KZN,Robbery at Residential Premises,2016/2017,4255
KZN,Robbery at Residential Premises,2017/2018,4174
KZN,Robbery at Residential Premises,2018/2019,4182
KZN,Robbery at Residential Premises,2019/2020,4575
KZN,Robbery at Residential Premises,2020/2021,4820
KZN,Robbery at Non-Residential Premises,2011/2012,1909
KZN,Robbery at Non-Residential Premises,2012/2013,2347
KZN,Robbery at Non-Residential Premises,2013/2014,2696
KZN,Robbery at Non-Residential Premises,2014/2015,2750
KZN,Robbery at Non-Residential Premises,2015/2016,2825
KZN,Robbery at Non-Residential Premises,2016/2017,2951
KZN,Robbery at Non-Residential Premises,2017/2018,3047
KZN,Robbery at Non-Residential Premises,2018/2019,3055
KZN,Robbery at Non-Residential Premises,2019/2020,3072
KZN,Robbery at Non-Residential Premises,2020/2021,3303
KZN,Robbery of Cash in Transit,2011/2012,25
KZN,Robbery of Cash in Transit,2012/2013,20
KZN,Robbery of Cash in Transit,2013/2014,37
KZN,Robbery of Cash in Transit,2014/2015,18
KZN,Robbery of Cash in Transit,2015/2016,21
KZN,Robbery of Cash in Transit,2016/2017,25
KZN,Robbery of Cash in Transit,2017/2018,30
KZN,Robbery of Cash in Transit,2018/2019,12
KZN,Robbery of Cash in Transit,2019/2020,16
KZN,Robbery of Cash in Transit,2020/2021,22
KZN,Bank Robbery,2011/2012,1
KZN,Bank Robbery,2012/2013,2
KZN,Bank Robbery,2013/2014,0
KZN,Bank Robbery,2014/2015,0
KZN,Bank Robbery,2015/2016,0
KZN,Bank Robbery,2016/2017,1
KZN,Bank Robbery,2017/2018,3
KZN,Bank Robbery,2018/2019,0
KZN,Bank Robbery,2019/2020,0
KZN,Bank Robbery,2020/2021,0
KZN,Truck Hijacking,2011/2012,64
KZN,Truck Hijacking,2012/2013,82
KZN,Truck Hijacking,2013/2014,46
KZN,Truck Hijacking,2014/2015,63
KZN,Truck Hijacking,2015/2016,71
KZN,Truck Hijacking,2016/2017,81
KZN,Truck Hijacking,2017/2018,52
KZN,Truck Hijacking,2018/2019,80
KZN,Truck Hijacking,2019/2020,70
KZN,Truck Hijacking,2020/2021,77
KZN,Other,2011/2012,10449
KZN,Other,2012/2013,10940
KZN,Other,2013/2014,11817
KZN,Other,2014/2015,11902
KZN,Other,2015/2016,11569
KZN,Other,2016/2017,11985
KZN,Other,2017/2018,11539
KZN,Other,2018/2019,12017
KZN,Other,2019/2020,12050
KZN,Other,2020/2021,10073
LIM,Car Hijacking,2011/2012,157
LIM,Car Hijacking,2012/2013,219
LIM,Car Hijacking,2013/2014,249
LIM,Car Hijacking,2014/2015,345
LIM,Car Hijacking,2015/2016,450
LIM,Car Hijacking,2016/2017,459
LIM,Car Hijacking,2017/2018,584
LIM,Car Hijacking,2018/2019,474
LIM,Car Hijacking,2019/2020,458
LIM,Car Hijacking,2020/2021,426
LIM,Robbery at Residential Premises,2011/2012,754
LIM,Robbery at Residential Premises,2012/2013,767
LIM,Robbery at Residential Premises,2013/2014,960
LIM,Robbery at Residential Premises,2014/2015,1117
LIM,Robbery at Residential Premises,2015/2016,1190
LIM,Robbery at Residential Premises,2016/2017,1181
LIM,Robbery at Residential Premises,2017/2018,1490
LIM,Robbery at Residential Premises,2018/2019,1300
LIM,Robbery at Residential Premises,2019/2020,1209
LIM,Robbery at Residential Premises,2020/2021,1108
LIM,Robbery at Non-Residential Premises,2011/2012,1130
LIM,Robbery at Non-Residential Premises,2012/2013,1221
LIM,Robbery at Non-Residential Premises,2013/2014,1374
LIM,Robbery at Non-Residential Premises,2014/2015,1522
LIM,Robbery at Non-Residential Premises,2015/2016,1802
LIM,Robbery at Non-Residential Premises,2016/2017,1750
LIM,Robbery at Non-Residential Premises,2017/2018,1821
LIM,Robbery at Non-Residential Premises,2018/2019,1838
LIM,Robbery at Non-Residential Premises,2019/2020,2165
LIM,Robbery at Non-Residential Premises,2020/2021,1560
LIM,Robbery of Cash in Transit,2011/2012,11
LIM,Robbery of Cash in Transit,2012/2013,5
LIM,Robbery of Cash in Transit,2013/2014,7
LIM,Robbery of Cash in Transit,2014/2015,9
LIM,Robbery of Cash in Transit,2015/2016,13
LIM,Robbery of Cash in Transit,2016/2017,10
LIM,Robbery of Cash in Transit,2017/2018,14
LIM,Robbery of Cash in Transit,2018/2019,13
LIM,Robbery of Cash in Transit,2019/2020,15
LIM,Robbery of Cash in Transit,2020/2021,13
LIM,Bank Robbery,2011/2012,0
LIM,Bank Robbery,2012/2013,0
LIM,Bank Robbery,2013/2014,0
LIM,Bank Robbery,2014/2015,1
LIM,Bank Robbery,2015/2016,0
LIM,Bank Robbery,2016/2017,0
LIM,Bank Robbery,2017/2018,0
LIM,Bank Robbery,2018/2019,0
LIM,Bank Robbery,2019/2020,0
LIM,Bank Robbery,2020/2021,0
LIM,Truck Hijacking,2011/2012,19
LIM,Truck Hijacking,2012/2013,34
LIM,Truck Hijacking,2013/2014,13
LIM,Truck Hijacking,2014/2015,27
LIM,Truck Hijacking,2015/2016,15
LIM,Truck Hijacking,2016/2017,27
LIM,Truck Hijacking,2017/2018,32
LIM,Truck Hijacking,2018/2019,15
LIM,Truck Hijacking,2019/2020,25
LIM,Truck Hijacking,2020/2021,18
LIM,Other,2011/2012,1581
LIM,Other,2012/2013,1671
LIM,Other,2013/2014,2560
LIM,Other,2014/2015,3102
LIM,Other,2015/2016,3253
LIM,Other,2016/2017,3318
LIM,Other,2017/2018,3107
LIM,Other,2018/2019,3366
LIM,Other,2019/2020,3594
LIM,Other,2020/2021,2980
MP,Car Hijacking,2011/2012,363
MP,Car Hijacking,2012/2013,355
MP,Car Hijacking,2013/2014,359
MP,Car Hijacking,2014/2015,509
MP,Car Hijacking,2015/2016,629
MP,Car Hijacking,2016/2017,810
MP,Car Hijacking,2017/2018,896
MP,Car Hijacking,2018/2019,917
MP,Car Hijacking,2019/2020,999
MP,Car Hijacking,2020/2021,967
MP,Robbery at Residential Premises,2011/2012,1189
MP,Robbery at Residential Premises,2012/2013,1123
MP,Robbery at Residential Premises,2013/2014,1118
MP,Robbery at Residential Premises,2014/2015,1112
MP,Robbery at Residential Premises,2015/2016,1080
MP,Robbery at Residential Premises,2016/2017,1138
MP,Robbery at Residential Premises,2017/2018,1125
MP,Robbery at Residential Premises,2018/2019,1069
MP,Robbery at Residential Premises,2019/2020,1184
MP,Robbery at Residential Premises,2020/2021,1271
MP,Robbery at Non-Residential Premises,2011/2012,1380
MP,Robbery at Non-Residential Premises,2012/2013,1308
MP,Robbery at Non-Residential Premises,2013/2014,1257
MP,Robbery at Non-Residential Premises,2014/2015,1366
MP,Robbery at Non-Residential Premises,2015/2016,1562
MP,Robbery at Non-Residential Premises,2016/2017,1764
MP,Robbery at Non-Residential Premises,2017/2018,1624
MP,Robbery at Non-Residential Premises,2018/2019,1758
MP,Robbery at Non-Residential Premises,2019/2020,1783
MP,Robbery at Non-Residential Premises,2020/2021,1662
MP,Robbery of Cash in Transit,2011/2012,15
MP,Robbery of Cash in Transit,2012/2013,12
MP,Robbery of Cash in Transit,2013/2014,9
MP,Robbery of Cash in Transit,2014/2015,14
MP,Robbery of Cash in Transit,2015/2016,18
MP,Robbery of Cash in Transit,2016/2017,22
MP,Robbery of Cash in Transit,2017/2018,23
MP,Robbery of Cash in Transit,2018/2019,16
MP,Robbery of Cash in Transit,2019/2020,15
MP,Robbery of Cash in Transit,2020/2021,17
MP,Bank Robbery,2011/2012,1
MP,Bank Robbery,2012/2013,2
MP,Bank Robbery,2013/2014,2
MP,Bank Robbery,2014/2015,2
MP,Bank Robbery,2015/2016,1
MP,Bank Robbery,2016/2017,0
MP,Bank Robbery,2017/2018,0
MP,Bank Robbery,2018/2019,0
MP,Bank Robbery,2019/2020,0
MP,Bank Robbery,2020/2021,0
MP,Truck Hijacking,2011/2012,149
MP,Truck Hijacking,2012/2013,143
MP,Truck Hijacking,2013/2014,197
MP,Truck Hijacking,2014/2015,155
MP,Truck Hijacking,2015/2016,194
MP,Truck Hijacking,2016/2017,178
MP,Truck Hijacking,2017/2018,121
MP,Truck Hijacking,2018/2019,116
MP,Truck Hijacking,2019/2020,144
MP,Truck Hijacking,2020/2021,111
MP,Other,2011/2012,2584
MP,Other,2012/2013,2255
MP,Other,2013/2014,2310
MP,Other,2014/2015,2498
MP,Other,2015/2016,2512
MP,Other,2016/2017,2790
MP,Other,2017/2018,2968
MP,Other,2018/2019,3215
MP,Other,2019/2020,3547
MP,Other,2020/2021,2976
NW,Car Hijacking,2011/2012,232
NW,Car Hijacking,2012/2013,227
NW,Car Hijacking,2013/2014,242
NW,Car Hijacking,2014/2015,278
NW,Car Hijacking,2015/2016,370
NW,Car Hijacking,2016/2017,390
NW,Car Hijacking,2017/2018,425
NW,Car Hijacking,2018/2019,478
NW,Car Hijacking,2019/2020,493
NW,Car Hijacking,2020/2021,366
NW,Robbery at Residential Premises,2011/2012,894
NW,Robbery at Residential Premises,2012/2013,1022
NW,Robbery at Residential Premises,2013/2014,1004
NW,Robbery at Residential Premises,2014/2015,1110
NW,Robbery at Residential Premises,2015/2016,1065
NW,Robbery at Residential Premises,2016/2017,1290
NW,Robbery at Residential Premises,2017/2018,1145
NW,Robbery at Residential Premises,2018/2019,1291
NW,Robbery at Residential Premises,2019/2020,1076
NW,Robbery at Residential Premises,2020/2021,1034
NW,Robbery at Non-Residential Premises,2011/2012,1348
NW,Robbery at Non-Residential Premises,2012/2013,1231
NW,Robbery at Non-Residential Premises,2013/2014,1366
NW,Robbery at Non-Residential Premises,2014/2015,1419
NW,Robbery at Non-Residential Premises,2015/2016,1394
NW,Robbery at Non-Residential Premises,2016/2017,1493
NW,Robbery at Non-Residential Premises,2017/2018,1263
NW,Robbery at Non-Residential Premises,2018/2019,1329
NW,Robbery at Non-Residential Premises,2019/2020,1307
NW,Robbery at Non-Residential Premises,2020/2021,1172
NW,Robbery of Cash in Transit,2011/2012,8
NW,Robbery of Cash in Transit,2012/2013,3
NW,Robbery of Cash in Transit,2013/2014,0
NW,Robbery of Cash in Transit,2014/2015,5
NW,Robbery of Cash in Transit,2015/2016,4
NW,Robbery of Cash in Transit,2016/2017,4
NW,Robbery of Cash in Transit,2017/2018,23
